"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "Shell Script", "JSON", "XML", "SQLite", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/allopze/dev/chome/bodega/AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/home/allopze/dev/chome/bodega/AUDITORIA_PROYECTO.md", "Markdown", 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 393
"/home/allopze/dev/chome/bodega/CLAUDE.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/allopze/dev/chome/bodega/EPP_PROVEEDORES_ESTRUCTURADO.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/home/allopze/dev/chome/bodega/PLAN.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81
"/home/allopze/dev/chome/bodega/README.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 75
"/home/allopze/dev/chome/bodega/TESTING.md", "Markdown", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 327
"/home/allopze/dev/chome/bodega/app/(app)/admin/auditoria/audit-log.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 92
"/home/allopze/dev/chome/bodega/app/(app)/admin/auditoria/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/auditoria/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"/home/allopze/dev/chome/bodega/app/(app)/admin/bodegas/actions.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 104
"/home/allopze/dev/chome/bodega/app/(app)/admin/bodegas/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/bodegas/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 6, 49
"/home/allopze/dev/chome/bodega/app/(app)/admin/bodegas/warehouse-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 1, 18, 159
"/home/allopze/dev/chome/bodega/app/(app)/admin/bodegas/warehouse-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 9, 110
"/home/allopze/dev/chome/bodega/app/(app)/admin/faenas/actions.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41, 166
"/home/allopze/dev/chome/bodega/app/(app)/admin/faenas/cost-center-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 1, 14, 130
"/home/allopze/dev/chome/bodega/app/(app)/admin/faenas/faenas-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 2, 13, 184
"/home/allopze/dev/chome/bodega/app/(app)/admin/faenas/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/faenas/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"/home/allopze/dev/chome/bodega/app/(app)/admin/faenas/worksite-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 1, 15, 116
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/[id]/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/actions.ts", "TypeScript", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47, 298
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/category-panel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 1, 8, 104
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/nuevo/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/nuevo/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 5, 57
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/product-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 4, 25, 303
